db_id,to,from
116,mws. return all subs for [marketplaceid],POST mwsamazonservicesSubscriptions2013-07-01
117,remove these permissions [feature_keys] from my sandbox twitter ad account (account_id),DELETE adsapitwitter1 accounts {account_id} features
118,delete features [feature_keys] from my twitter ad account (account_id),DELETE adsapitwitter1 accounts {account_id} features
119,what user behaviors can i target on twitter ads?,GET adsapitwitter1 targeting_criteria behaviors
120,on twitter ads what are some identified behavior groups?,GET adsapitwitter1 targeting_criteria behaviors
121,i (account_id) do not want to know about this app event provider (id) any longer on twitter ads.,DELETE adsapitwitter1 accounts {account_id} app_event_provider_configurations {id}
122,"twitter ads, disassociate app event provider (id) for my (account_id) account.",DELETE adsapitwitter1 accounts {account_id} app_event_provider_configurations {id}
123,get information about this link (link-id) shared on facebook.,GET graphfacebookv2.9 {link-id}
124,remove this link (link-id) i shared on facebook,DELETE graphfacebookv2.9 {link-id}
125,"facebook, more info on link (link-id)",GET graphfacebookv2.9 {link-id}
126,on facebook delete link (link-id),DELETE graphfacebookv2.9 {link-id}
127,upload this image [media_data] to my twitter ,POST uploadtwitter1.1 media upload.json
128,"twitter, post pic [media_data]",POST uploadtwitter1.1 media upload.json
129,which of my friends like this page (page-id) on facebook?,GET graphfacebookv2.9 {page-id}
130,on facebook what friends of mine like this page (page-id)?,GET graphfacebookv2.9 {page-id}
131,what lists am i [screen_name] subscribed to on twitter?,GET apitwitter1.1 lists list.json
132,what lists does [screen_name] subscribe to on twitter?,GET apitwitter1.1 lists list.json
133,what are the comments on my latest life news (life-event-id) on facebook?,GET graphfacebookv2.9 {life-event-id} comments
134,post [message] to my life news (life-event-id) on facebook.,POST graphfacebookv2.9 {life-event-id} comments
135,who's commenting on my big news (life-event-id) on facebook?,GET graphfacebookv2.9 {life-event-id} comments
136,"add message ""[message]"" to my life event (life-event-id) on facebook",POST graphfacebookv2.9 {life-event-id} comments
137,get this ad group (line_item_id) from my (account_id) twitter ads.,GET adsapitwitter1 accounts {account_id} line_items {line_item_id}
138,what information do we have on this ad group (line_item_id) on my twitter ads account?,GET adsapitwitter1 accounts {account_id} line_items {line_item_id}
139,"create new ad campaign on yahoo gemini with these attributes status (status), campaign name (campaignname), budget (budget), budget type (budgettype), advertiser id (advertiserid), channel (channel)",POST POST https:api.admanager.yahoo.comv1 rest campaign
140,"on yahoo gemini create campaign with  status (status), campaign name (campaignname), budget (budget), budget type (budgettype), advertiser id (advertiserid), channel (channel) ",POST POST https:api.admanager.yahoo.comv1 rest campaign
141,what are the settings for this ad campaign (campaignid) on yahoo gemini,GET apiadmanageryahoov1 rest campaign {campaignId}
142,"update ad group (adgroupname) with this info status (status), advertiser (advertiserid), campaign (campaignid), start date (startdatestr), end date (enddatestr), bids (bidset) on yahoo gemini",PUT apiadmanageryahoov1 rest adgroup
143,on yahoo gemini what parameters does campaign (campaignid) have,GET apiadmanageryahoov1 rest campaign {campaignId}
144,"on yahoo gemini change (adgroupname) with this info status (status), advertiser (advertiserid), campaign (campaignid), start date (startdatestr), end date (enddatestr), bids (bidset)",PUT apiadmanageryahoov1 rest adgroup
145,what audiences do i belong to for this app (application-id) on facebook,GET graphfacebookv2.9 {application-id} custom_audience_third_party_id
146,on facebook what audiences does app (application-id) include me in,GET graphfacebookv2.9 {application-id} custom_audience_third_party_id
147,get info about about this video card (id) i attached to my (account_id) tweet on twitter ads.,GET adsapitwitter1 accounts {account_id} cards video_app_download {id}
148,"on twitter ads, what is the information on this video card (id)",GET adsapitwitter1 accounts {account_id} cards video_app_download {id}
149,what friends were tagged at this place (open-graph-context-id) on facebook,GET graphfacebookv2.9 {open-graph-context-id} friends_tagged_at
150,on facebook what friends were tagged here (open-graph-context-id),GET graphfacebookv2.9 {open-graph-context-id} friends_tagged_at
151,which of my friends listen to this music (page-id) on facebook,GET graphfacebookv2.9 {page-id}
152,"on facebook, what friends have listened to this artist (page-id)?",GET graphfacebookv2.9 {page-id}
153,remove these members [screen_name] from my list [list_id] on twitter,POST apitwitter1.1 lists members destroy_all.json
154,"on twitter remove these people from my list: [screen_name], [list_id]",POST apitwitter1.1 lists members destroy_all.json
155,get a list of all my (user-id) facebook friends,GET graphfacebookv2.9 {user-id} friends
156,who are all of my (user-id) friends on facebook,GET graphfacebookv2.9 {user-id} friends
157,what people does twitter think i should follow?,GET apitwitter1.1 users suggestions.json
158,who should i follow on twitter?,GET apitwitter1.1 users suggestions.json
159,show me the photos of this wedding (life-event-id),GET graphfacebookv2.9 {life-event-id} photos
160,what pictures are related to my graduation (life-event-id),GET graphfacebookv2.9 {life-event-id} photos
161,get the cover photo for this album (album-id) on facebook,GET graphfacebookv2.9 {album-id} picture
162,from facebook show me the cover of this album (album-id),GET graphfacebookv2.9 {album-id} picture
163,revoke this permission (tailored_audience_permission_id) for this advertising account (account_id) for this audience (tailored_audience_id) on twitter ads,DELETE adsapitwitter1 accounts {account_id} tailored_audiences {tailored_audience_id} permissions {tailored_audience_permission_id}
164,on twitter ads remove permission (tailored_audience_permission_id) from account (account_id) for audience(tailored_audience_id),DELETE adsapitwitter1 accounts {account_id} tailored_audiences {tailored_audience_id} permissions {tailored_audience_permission_id}
165,what are some twitter statuses,GET streamtwitter1.1 statuses sample.json
166,show me some random twitter statuses,GET streamtwitter1.1 statuses sample.json
167,report user [screen_name] for spamming on twitter,POST apitwitter1.1 users report_spam.json
168,"on twitter report for spamming, user [screen_name]",POST apitwitter1.1 users report_spam.json
169,reset all my achievements on my google game ,POST googleapisgamesv1management achievements reset
170,for my game on the google app store reset my achievements,POST googleapisgamesv1management achievements reset
171,unsubscribe me from this list [list_id] on twitter,POST apitwitter1.1 lists subscribers destroy.json
172,on twitter remove me from this list [list_id],POST apitwitter1.1 lists subscribers destroy.json
173,what are other names for this facebook page (page-id),GET graphfacebookv2.9 {page-id} screennames
174,on facebook show me other names for  page (page-id),GET graphfacebookv2.9 {page-id} screennames
175,what are some achievements for my facebook page (page-id),GET graphfacebookv2.9 {page-id} milestones
176,on facebook what are some cool things about this page (page-id),GET graphfacebookv2.9 {page-id} milestones
177,what information is there on this facebook user (user-id),GET graphfacebookv2.9 {user-id}
178,on facebook show me the information on myself (user-id),GET graphfacebookv2.9 {user-id}
179,change the display on this tweet (id) on this advertiser account (account_id) to [display_properties],PUT adsapitwitter1 accounts {account_id} promoted_tweets {id}
180,change my (account_id) promoted tweet (id) to these new display properties [display_properties],PUT adsapitwitter1 accounts {account_id} promoted_tweets {id}
181,"update my twitter list [list_id] with name [name], mode [mode] and description [description]",POST apitwitter1.1 lists update.json
182,change the name of my twitter list [list_id] to name [name].,POST apitwitter1.1 lists update.json
183,get information about this google game achievement (achievementid),GET googleapisgamesv1configuration achievements {achievementId}
184,check the metadata about this google game achievement (achievementid),GET googleapisgamesv1configuration achievements {achievementId}
185,which tweets of mine were recently retweeted,https:  api.twitter.com 1.1 statuses retweets_of_me.json GET
186,check the retweets of my latest tweets,https:  api.twitter.com 1.1 statuses retweets_of_me.json GET
187,update this partner managed funding instrument (id) to this limit [funded_amount_local_micro] for my twitter ad account (account_id) ,PUT adsapitwitter1 accounts {account_id} funding_instruments {id}
188,change this twitter funding instrument (id) on my ad account (account_id) to this amount [funded_amount_local_micro] ,PUT adsapitwitter1 accounts {account_id} funding_instruments {id}
189,what are the user ids of the people who retweeted this tweet [id],GET apitwitter1.1 statuses retweeters ids.json
190,who retweeted this tweet [id],GET apitwitter1.1 statuses retweeters ids.json
191,what are the all the tweets recently tweeted by me and and who i follow,GET apitwitter1.1 statuses home_timeline.json
192,what are my and the people i follow's tweets,GET apitwitter1.1 statuses home_timeline.json
193,who are my [user_id] followers on twitter,Get apitwitter1.1 followers ids.json
194,who follows this user [user_id] on twitter,Get apitwitter1.1 followers ids.json
195,who are user (user-id) and my mutual friends on facebook,GET graphfacebookv2.9 {user-id}
196,on facebook what are my and user's (user-id)  mutual friends,GET graphfacebookv2.9 {user-id}
197,list the test users on my facebook app (app-id),GET graphfacebookv2.9 {app-id} accounts test-users
198,what are the test accounts on my facebook app (app-id),GET graphfacebookv2.9 {app-id} accounts test-users
199,get all the information on the google api (api) with version (version),GET googleapisdiscoveryv1 apis {api} {version} rest
200,show me what you know about the google api (api) with version (version),GET googleapisdiscoveryv1 apis {api} {version} rest
201,who am i blocking on twitter,GET apitwitter1.1 blocks ids.json
202,list all the people i'm blocking on twitter,GET apitwitter1.1 blocks ids.json
203,show me the info on my (account_id) twitter ads image ad cards,GET adsapitwitter1 accounts {account_id} cards image_conversation
204,get me all the information on this twitter ads account's (account_id) image cards ,GET adsapitwitter1 accounts {account_id} cards image_conversation
205,show me all these metrics [metrics] on a facebook video (video-id),GET graphfacebookv2.6 {video-id} video_insights
206,what are all the metrics [metrics] about this facebook video (video-id),GET graphfacebookv2.6 {video-id} video_insights
207,what are all the videos on this (page-id) on facebook?,GET graphfacebookv2.9 {page-id} videos
208,"from facebook, get me all the videos from this page (page-id)",GET graphfacebookv2.9 {page-id} videos
209,"create a new funding instrument on this twitter ads sandbox account (account_id) with type [type], currency [currency] and start time [start_time]",POST adsapisandboxtwitter1 accounts {account_id} funding_instruments
210,"on my twitter ads sandbox account (account_id) make a funding instruments with type [type], currency [currency] and start time [start_time]",POST adsapisandboxtwitter1 accounts {account_id} funding_instruments
211,list all of the ad campaigns from this twitter ads account (account_id),GET adsapitwitter1 accounts {account_id} campaigns
212,what are my (account_id) campaigns on twitter ads,GET adsapitwitter1 accounts {account_id} campaigns
213,show me information about this message (message-id) sent from my facebook page,GET graphfacebookv2.9 {message-id}
214,from facebook get information about this message (message-id) typed from my page,GET graphfacebookv2.9 {message-id}
215,download the picture from (sam's facebook message yesterday)\(message_id),GET graphfacebookv2.9 {message_id} attachments
216,the video (sam just facebook'd me)\(message_id),GET graphfacebookv2.9 {message_id} attachments
217,download the picture from (sam's facebook message yesterday)\(message_id),GET graphfacebookv2.9 {message_id} attachments
218,download the picture from (sam's facebook message yesterday)\(message_id),GET graphfacebookv2.9 {message_id} attachments
219,the video (sam just facebook'd me)\(message_id),GET graphfacebookv2.9 {message_id} attachments
220,the video (sam just facebook'd me)\(message_id),GET graphfacebookv2.9 {message_id} attachments
